ncore_nodes,seq_length,median,std_err_mean,score,perf_name
100,100,0.001624,0.000003,-394.311890,1thread_viterbi
100,1000,0.016366,0.000029,-3943.085205,1thread_viterbi
100,2000,0.033628,0.000061,-7886.054199,1thread_viterbi
100,3000,0.049167,0.000066,-11829.023438,1thread_viterbi
100,4000,0.066526,0.000086,-15771.992188,1thread_viterbi
100,5000,0.085769,0.000104,-19714.960938,1thread_viterbi
100,6000,0.098816,0.000108,-23657.929688,1thread_viterbi
100,7000,0.115458,0.000173,-27600.898438,1thread_viterbi
100,8000,0.130787,0.000137,-31543.867188,1thread_viterbi
100,9000,0.148442,0.000154,-35486.835938,1thread_viterbi
100,10000,0.167646,0.000171,-39429.804688,1thread_viterbi
500,100,0.008755,0.000002,-1681.885620,1thread_viterbi
500,1000,0.086364,0.000016,-16818.085938,1thread_viterbi
500,2000,0.172442,0.000164,-33636.054688,1thread_viterbi
500,3000,0.256315,0.000225,-50454.023438,1thread_viterbi
500,4000,0.345622,0.000302,-67271.992188,1thread_viterbi
500,5000,0.428122,0.000449,-84089.960938,1thread_viterbi
500,6000,0.520338,0.000588,-100907.929688,1thread_viterbi
500,7000,0.602064,0.000552,-117725.898438,1thread_viterbi
500,8000,0.691563,0.000621,-134543.875000,1thread_viterbi
500,9000,0.768395,0.000981,-151361.843750,1thread_viterbi
500,10000,0.858884,0.000783,-168179.812500,1thread_viterbi
1000,100,0.017655,0.000003,-3291.288330,1thread_viterbi
1000,1000,0.172866,0.000240,-32911.835938,1thread_viterbi
1000,2000,0.343777,0.000294,-65823.554688,1thread_viterbi
1000,3000,0.515131,0.000445,-98735.273438,1thread_viterbi
1000,4000,0.686179,0.000591,-131647.000000,1thread_viterbi
1000,5000,0.857687,0.000848,-164558.718750,1thread_viterbi
1000,6000,1.034774,0.000948,-197470.437500,1thread_viterbi
1000,7000,1.204692,0.001293,-230382.156250,1thread_viterbi
1000,8000,1.380530,0.001249,-263305.031250,1thread_viterbi
1000,9000,1.563873,0.001702,-296536.281250,1thread_viterbi
1000,10000,1.740310,0.001593,-329767.531250,1thread_viterbi
