ncore_nodes,seq_length,median,std_err_mean,score,perf_name
100,100,0.001686,0.000009,-394.311890,1thread_viterbi
100,1000,0.016550,0.000029,-3943.085205,1thread_viterbi
100,2000,0.032913,0.000064,-7886.054199,1thread_viterbi
100,3000,0.049366,0.000069,-11829.023438,1thread_viterbi
100,4000,0.066277,0.000105,-15771.992188,1thread_viterbi
100,5000,0.083527,0.000099,-19714.960938,1thread_viterbi
100,6000,0.098696,0.000129,-23657.929688,1thread_viterbi
100,7000,0.115156,0.000143,-27600.898438,1thread_viterbi
100,8000,0.132082,0.000162,-31543.867188,1thread_viterbi
100,9000,0.148898,0.000180,-35486.835938,1thread_viterbi
100,10000,0.166500,0.000198,-39429.804688,1thread_viterbi
500,100,0.008811,0.000006,-1681.885620,1thread_viterbi
500,1000,0.086783,0.000023,-16818.085938,1thread_viterbi
500,2000,0.171789,0.000158,-33636.054688,1thread_viterbi
500,3000,0.256534,0.000140,-50454.023438,1thread_viterbi
500,4000,0.342296,0.000157,-67271.992188,1thread_viterbi
500,5000,0.429610,0.000196,-84089.960938,1thread_viterbi
500,6000,0.513693,0.000281,-100907.929688,1thread_viterbi
500,7000,0.605839,0.000543,-117725.898438,1thread_viterbi
500,8000,0.684951,0.000645,-134543.875000,1thread_viterbi
500,9000,0.767630,0.000704,-151361.843750,1thread_viterbi
500,10000,0.856665,0.000785,-168179.812500,1thread_viterbi
1000,100,0.017501,0.000002,-3291.288330,1thread_viterbi
1000,1000,0.172638,0.000008,-32911.835938,1thread_viterbi
1000,2000,0.340885,0.000023,-65823.554688,1thread_viterbi
1000,3000,0.509479,0.000479,-98735.273438,1thread_viterbi
1000,4000,0.703350,0.000628,-131647.000000,1thread_viterbi
1000,5000,0.850915,0.000814,-164558.718750,1thread_viterbi
1000,6000,1.023516,0.001333,-197470.437500,1thread_viterbi
1000,7000,1.209396,0.001571,-230382.156250,1thread_viterbi
1000,8000,1.383036,0.001810,-263305.031250,1thread_viterbi
1000,9000,1.558444,0.002055,-296536.281250,1thread_viterbi
1000,10000,1.735434,0.002222,-329767.531250,1thread_viterbi
